site,scrap_time,path,has_html,inline_count,external_count,onclick_count,onload_count,onchange_count,avg_inline_script_block,avg_external_script_block,avg_onclick_count,avg_onload_count,avg_onchange_count,avg_cyc_complexity,library_code_count,Predicted Results,Actual Results
suppor-service-partner.ml,2017-09-21 11-00-44,C:\Phishing Project\phishtank - september 2017\content\5d3\suppor-service-partner.ml\2017-09-21 11-00-44,1,0.0,4.0,1,2.0,0.0,0.0,61.0,805,1,3,0.666666667,2,phish,phish
istartpageing.com,2017-11-20 05-18-35,C:\target site - 20K alexa\content\856\istartpageing.com\2017-11-20 05-18-35,1,2.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
www.company-advert-convers.com,2017-09-24 12-19-24,C:\Phishing Project\phishtank - september 2017\content\449\www.company-advert-convers.com\2017-09-24 12-19-24,1,1.0,1.0,1,1.0,0.0,0.0,181.0,426,0,1,1.0,1,phish,phish
qeshm.ir,2017-11-20 11-03-37,C:\target site - 20K alexa\content\1bf\qeshm.ir\2017-11-20 11-03-37,1,0.0,2.0,1,0.0,0.0,0.0,879.0,4133,0,2,1.0,2,phish,alexa
cdba.co.in,2017-11-23 10-44-38,C:\Phishing Project\phishtank - november 2017\content\3d8\cdba.co.in\2017-11-23 10-44-38,1,5.0,3.0,1,0.0,0.0,0.0,20.0,76,0,2,1.0,2,phish,phish
www.security-service-center.ga,2017-11-18 12-45-23,C:\Phishing Project\phishtank - november 2017\content\3cb\www.security-service-center.ga\2017-11-18 12-45-23,1,1.0,1.0,1,1.0,0.0,0.0,181.0,426,0,1,1.0,1,phish,phish
1atgtradoc.000webhostapp.com,2017-11-17 07-44-59,C:\Phishing Project\phishtank - november 2017\content\0c5\1atgtradoc.000webhostapp.com\2017-11-17 07-44-59,1,0.0,3.0,2,0.0,0.0,0.0,207.0,387,2,1,1.0,1,phish,phish
www.charulatainterior.com,2017-09-21 11-45-56,C:\Phishing Project\phishtank - september 2017\content\6d6\www.charulatainterior.com\2017-09-21 11-45-56,1,21.0,3.0,1,6.0,0.0,0.0,28.0,96,2,1,1.0,1,phish,phish
universalteacher.org.uk,2017-11-21 07-26-49,C:\target site - 20K alexa\content\040\universalteacher.org.uk\2017-11-21 07-26-49,1,1.0,0.0,1,9.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
gbportugal.com,2017-11-21 05-01-01,C:\target site - 20K alexa\content\09f\gbportugal.com\2017-11-21 05-01-01,1,2.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
www.couturehollywood.com,2017-11-24 07-44-18,C:\Phishing Project\phishtank - november 2017\content\1a9\www.couturehollywood.com\2017-11-24 07-44-18,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0,1,0,0.0,0,phish,phish
www.illuminotechnique.com,2017-09-28 02-51-56,C:\Phishing Project\phishtank - september 2017\content\11b\www.illuminotechnique.com\2017-09-28 02-51-56,1,3.0,4.0,1,3.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
homehandicraft.com,2017-11-17 04-59-07,C:\Phishing Project\phishtank - november 2017\content\2cc\homehandicraft.com\2017-11-17 04-59-07,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
theresanissuewiththisacc.000webhostapp.com,2017-11-25 08-29-04,C:\Phishing Project\phishtank - november 2017\content\72f\theresanissuewiththisacc.000webhostapp.com\2017-11-25 08-29-04,1,1.0,3.0,1,0.0,0.0,0.0,0.0,0,3,0,0.0,0,phish,phish
gettingyourliferight.com,2017-11-21 02-19-01,C:\Phishing Project\phishtank - november 2017\content\4cc\gettingyourliferight.com\2017-11-21 02-19-01,1,4.0,4.5,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
iphpbb3.com,2017-11-20 10-28-28,C:\target site - 20K alexa\content\1da\iphpbb3.com\2017-11-20 10-28-28,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
socgen-informations.nihaopei.com,2017-11-23 01-44-10,C:\Phishing Project\phishtank - november 2017\content\741\socgen-informations.nihaopei.com\2017-11-23 01-44-10,1,1.0,2.0,1,10.0,0.0,0.0,36.0,135,1,1,0.0,0,phish,phish
www.useobagharaj.gov.bd,2017-09-20 09-14-44,C:\Phishing Project\phishtank - september 2017\content\b4c\www.useobagharaj.gov.bd\2017-09-20 09-14-44,1,1.0,3.0,1,0.0,0.0,0.0,52.0,156,1,1,0.0,0,phish,phish
ghper.com,2017-11-18 01-44-37,C:\Phishing Project\phishtank - november 2017\content\276\ghper.com\2017-11-18 01-44-37,1,9.0,6.0,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
jmls.edu,2017-11-20 06-41-57,C:\target site - 20K alexa\content\ba9\jmls.edu\2017-11-20 06-41-57,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
www.anzstudio.com.au,2017-09-22 10-14-01,C:\Phishing Project\phishtank - september 2017\content\3d0\www.anzstudio.com.au\2017-09-22 10-14-01,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0,1,0,0.0,0,phish,phish
provocaloran.000webhostapp.com,2017-11-16 10-24-01,C:\Phishing Project\phishtank - november 2017\content\32c\provocaloran.000webhostapp.com\2017-11-16 10-24-01,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0,1,0,0.0,0,phish,phish
mydealz.us,2017-12-03 07-24-17,C:\target site - 20K alexa\content\145\mydealz.us\2017-12-03 07-24-17,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0,1,0,0.0,0,phish,alexa
lustylist.com,2017-11-20 01-43-08,C:\target site - 20K alexa\content\e69\lustylist.com\2017-11-20 01-43-08,1,4.0,6.0,1,0.0,0.0,0.0,22.4,500,1,5,0.4,2,phish,alexa
vizabcip.com,2017-09-20 09-49-02,C:\Phishing Project\phishtank - september 2017\content\9f9\vizabcip.com\2017-09-20 09-49-02,1,1.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
onlinesbi.com,2017-11-19 09-52-41,C:\target site - 20K alexa\content\122\onlinesbi.com\2017-11-19 09-52-41,1,1.0,6.0,2,3.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
mccluskeychevrolet.com,2017-11-21 03-10-44,C:\target site - 20K alexa\content\376\mccluskeychevrolet.com\2017-11-21 03-10-44,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
ssl34.autobank-santander.com,2017-11-20 06-59-06,C:\Phishing Project\phishtank - november 2017\content\002\ssl34.autobank-santander.com\2017-11-20 06-59-06,1,3.0,2.0,1,0.0,0.0,0.0,0.0,0,2,0,0.0,0,phish,phish
bbcartoes.com.br.smsbb2.com,2017-11-17 01-04-02,C:\Phishing Project\phishtank - november 2017\content\319\bbcartoes.com.br.smsbb2.com\2017-11-17 01-04-02,1,0.0,2.0,1,0.0,0.0,0.0,100.0,181,1,1,0.0,0,phish,phish
sparkasse-sicherheit.deutschland-kundenservice-sicherheitsservice.info,2017-11-21 04-54-29,C:\Phishing Project\phishtank - november 2017\content\669\sparkasse-sicherheit.deutschland-kundenservice-sicherheitsservice.info\2017-11-21 04-54-29,1,1.0,7.5,2,0.0,0.0,0.0,56.9,1893,5,10,0.3,3,phish,phish
www.tintacondutiva.com.br,2017-11-21 04-55-10,C:\Phishing Project\phishtank - november 2017\content\048\www.tintacondutiva.com.br\2017-11-21 04-55-10,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
lxszc4lb-site.ctempurl.com,2017-11-23 10-14-05,C:\Phishing Project\phishtank - november 2017\content\d26\lxszc4lb-site.ctempurl.com\2017-11-23 10-14-05,1,10.0,24.5,2,9.5,0.0,0.0,463.375,22162,3,16,1.0,16,phish,phish
simoncelli.com.uy,2017-11-25 01-44-07,C:\Phishing Project\phishtank - november 2017\content\624\simoncelli.com.uy\2017-11-25 01-44-07,1,0.0,4.0,1,2.0,0.0,0.0,61.0,805,1,3,0.666666667,2,phish,phish
www.bestroulettecasinos.net,2017-09-22 06-39-09,C:\Phishing Project\phishtank - september 2017\content\339\www.bestroulettecasinos.net\2017-09-22 06-39-09,1,5.0,2.0,1,0.0,0.0,0.0,880.0,6834,1,1,0.0,0,phish,phish
cgif.com.cn,2017-12-04 12-38-58,C:\target site - 20K alexa\content\258\cgif.com.cn\2017-12-04 12-38-58,1,0.0,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
biuromazurek.pl,2017-11-17 10-14-01,C:\Phishing Project\phishtank - november 2017\content\8ed\biuromazurek.pl\2017-11-17 10-14-01,1,1.0,2.0,1,0.0,0.0,0.0,6.0,22,1,1,0.0,0,phish,phish
jviaa.jp,2017-09-22 09-44-26,C:\Phishing Project\phishtank - september 2017\content\fe5\jviaa.jp\2017-09-22 09-44-26,1,0.0,2.0,1,0.0,0.0,0.0,8.0,17,1,1,0.0,0,phish,phish
sparkasse-bank.verifizierung-konto-sicherheit.info,2017-11-17 07-14-10,C:\Phishing Project\phishtank - november 2017\content\afb\sparkasse-bank.verifizierung-konto-sicherheit.info\2017-11-17 07-14-10,1,1.0,7.5,2,0.0,0.0,0.0,56.9,1893,5,10,0.3,3,phish,phish
www.cookinexx.com,2017-09-23 10-59-46,C:\Phishing Project\phishtank - september 2017\content\767\www.cookinexx.com\2017-09-23 10-59-46,1,2.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
641-982-229.641-982-229.641-982-229.yehjgdax7ntmrtc5.oap5ftk5eb.com.ve,2017-09-23 04-24-16,C:\Phishing Project\phishtank - september 2017\content\3c2\641-982-229.641-982-229.641-982-229.yehjgdax7ntmrtc5.oap5ftk5eb.com.ve\2017-09-23 04-24-16,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
muskaneb.com,2017-09-21 11-47-44,C:\Phishing Project\phishtank - september 2017\content\96e\muskaneb.com\2017-09-21 11-47-44,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
www.tamilpeak360.com,2017-11-17 10-44-46,C:\Phishing Project\phishtank - november 2017\content\906\www.tamilpeak360.com\2017-11-17 10-44-46,1,0.0,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
z5d9ugr.rn9tp7d51q.biz,2017-11-18 03-19-01,C:\Phishing Project\phishtank - november 2017\content\12c\z5d9ugr.rn9tp7d51q.biz\2017-11-18 03-19-01,1,1.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
bigmatchshow.lv,2017-11-21 05-44-44,C:\Phishing Project\phishtank - november 2017\content\229\bigmatchshow.lv\2017-11-21 05-44-44,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
atleticshop.com.br,2017-11-21 01-49-38,C:\Phishing Project\phishtank - november 2017\content\928\atleticshop.com.br\2017-11-21 01-49-38,1,1.0,4.0,2,0.0,0.0,0.0,60.0,206,3,1,1.0,1,phish,phish
www.ultrafix.in,2017-11-20 06-34-22,C:\Phishing Project\phishtank - november 2017\content\9c9\www.ultrafix.in\2017-11-20 06-34-22,1,4.0,4.5,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
mutees.com.pk,2017-09-25 04-54-04,C:\Phishing Project\phishtank - september 2017\content\17a\mutees.com.pk\2017-09-25 04-54-04,1,7.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
www.empresarialasantana.com,2017-11-23 12-24-02,C:\Phishing Project\phishtank - november 2017\content\5bd\www.empresarialasantana.com\2017-11-23 12-24-02,1,1.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
clubinmobiliariochile.cl,2017-11-24 07-44-11,C:\Phishing Project\phishtank - november 2017\content\1ec\clubinmobiliariochile.cl\2017-11-24 07-44-11,1,0.0,2.0,2,0.5,0.0,0.0,106.0,1409,0,4,1.0,4,phish,phish
xl415.com,2017-11-20 05-15-34,C:\target site - 20K alexa\content\cfe\xl415.com\2017-11-20 05-15-34,1,1.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
wontae.pw,2017-09-28 04-54-01,C:\Phishing Project\phishtank - september 2017\content\149\wontae.pw\2017-09-28 04-54-01,1,6.0,1.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
www.hgtbluegrass.com,2017-09-24 06-39-03,C:\Phishing Project\phishtank - september 2017\content\aaf\www.hgtbluegrass.com\2017-09-24 06-39-03,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0,1,0,0.0,0,phish,phish
mhc-class-ii-antigen-45-57-homo-sapiens.com,2017-09-20 09-20-52,C:\Phishing Project\phishtank - september 2017\content\175\mhc-class-ii-antigen-45-57-homo-sapiens.com\2017-09-20 09-20-52,1,2.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
dextatek.com,2017-09-22 06-19-09,C:\Phishing Project\phishtank - september 2017\content\9a8\dextatek.com\2017-09-22 06-19-09,1,1.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
vereinsknowhow.de,2017-11-21 05-51-56,C:\target site - 20K alexa\content\486\vereinsknowhow.de\2017-11-21 05-51-56,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
securesmtp.000webhostapp.com,2017-09-22 03-49-00,C:\Phishing Project\phishtank - september 2017\content\f24\securesmtp.000webhostapp.com\2017-09-22 03-49-00,1,5.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
arduinoforautism.com,2017-11-23 10-44-09,C:\Phishing Project\phishtank - november 2017\content\132\arduinoforautism.com\2017-11-23 10-44-09,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
www.synk.gr,2017-09-21 02-09-02,C:\Phishing Project\phishtank - september 2017\content\446\www.synk.gr\2017-09-21 02-09-02,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
www.owozse.com,2017-09-22 02-44-42,C:\Phishing Project\phishtank - september 2017\content\3cf\www.owozse.com\2017-09-22 02-44-42,1,1.0,3.0,1,0.0,0.0,0.0,52.0,156,1,1,0.0,0,phish,phish
b1h3yn2s.rn9tp7d51q.biz,2017-11-18 04-44-18,C:\Phishing Project\phishtank - november 2017\content\9b8\b1h3yn2s.rn9tp7d51q.biz\2017-11-18 04-44-18,1,1.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
lbcpzonasegura-viabcp.web-pcb.com,2017-09-28 04-14-00,C:\Phishing Project\phishtank - september 2017\content\625\lbcpzonasegura-viabcp.web-pcb.com\2017-09-28 04-14-00,1,5.0,8.0,1,12.0,0.0,2.0,274.0,5274,3,5,0.0,0,phish,phish
wikipedia.org,2017-11-19 09-40-43,C:\target site - 20K alexa\content\62c\wikipedia.org\2017-11-19 09-40-43,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
logpal.tumblr.com,2017-11-25 08-39-01,C:\Phishing Project\phishtank - november 2017\content\8e3\logpal.tumblr.com\2017-11-25 08-39-01,1,56.0,3.0,2,0.0,0.0,0.0,2607.0,14615,2,2,1.0,2,phish,phish
maruchuen.men,2017-09-22 08-44-42,C:\Phishing Project\phishtank - september 2017\content\988\maruchuen.men\2017-09-22 08-44-42,1,5.0,37.0,1,0.0,0.0,0.0,0.0,0,36,0,0.0,0,phish,phish
9j.gg02ibq.biz,2017-11-17 10-19-03,C:\Phishing Project\phishtank - november 2017\content\2b3\9j.gg02ibq.biz\2017-11-17 10-19-03,1,1.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
ocazii-imobiliare.ro,2017-11-21 09-20-05,C:\Phishing Project\phishtank - november 2017\content\dbc\ocazii-imobiliare.ro\2017-11-21 09-20-05,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
polisvit.com,2017-09-20 08-46-42,C:\Phishing Project\phishtank - september 2017\content\4ea\polisvit.com\2017-09-20 08-46-42,1,1.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
sparkasse-filliale.entsperrung-filliale-service.info,2017-11-21 04-14-00,C:\Phishing Project\phishtank - november 2017\content\471\sparkasse-filliale.entsperrung-filliale-service.info\2017-11-21 04-14-00,1,1.0,7.5,2,0.0,0.0,0.0,56.9,1893,5,10,0.3,3,phish,phish
aforditoiroda.hu,2017-11-23 06-54-00,C:\Phishing Project\phishtank - november 2017\content\e5e\aforditoiroda.hu\2017-11-23 06-54-00,1,1.0,6.0,1,0.0,0.0,0.0,32.0,214,5,1,0.0,0,phish,phish
instag00.beget.tech,2017-11-17 04-44-17,C:\Phishing Project\phishtank - november 2017\content\dd7\instag00.beget.tech\2017-11-17 04-44-17,1,6.0,6.0,1,0.0,0.0,0.0,386.0,2834,3,3,0.666666667,2,phish,phish
rabdirazaha.com,2017-11-23 09-59-03,C:\Phishing Project\phishtank - november 2017\content\6ea\rabdirazaha.com\2017-11-23 09-59-03,1,0.0,4.0,1,3.0,0.0,0.0,27.0,88,0,1,0.0,0,phish,phish
britto-bd.com,2017-11-21 01-44-53,C:\Phishing Project\phishtank - november 2017\content\0c0\britto-bd.com\2017-11-21 01-44-53,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
dev-master.com,2017-10-05 01-44-29,C:\Phishing Project\phishtank - october 2017\content\be9\dev-master.com\2017-10-05 01-44-29,1,1.0,4.0,1,0.0,0.0,0.0,60.0,206,3,1,1.0,1,phish,phish
liveontvsonline.com,2017-11-25 09-44-24,C:\Phishing Project\phishtank - november 2017\content\da4\liveontvsonline.com\2017-11-25 09-44-24,1,4.0,9.0,2,1.0,0.0,0.0,186.66666669999998,1960,3,6,0.666666667,4,phish,phish
hamada-habibi74.000webhostapp.com,2017-11-17 12-34-31,C:\Phishing Project\phishtank - november 2017\content\20a\hamada-habibi74.000webhostapp.com\2017-11-17 12-34-31,1,0.0,3.0,2,0.0,0.0,0.0,207.0,387,2,1,1.0,1,phish,phish
www.eoesummit.org,2017-11-26 09-49-05,C:\Phishing Project\phishtank - november 2017\content\2ea\www.eoesummit.org\2017-11-26 09-49-05,1,0.0,2.0,1,1.0,1.0,0.0,0.0,0,0,0,0.0,0,phish,phish
app-1493802496.000webhostapp.com,2017-11-16 02-14-00,C:\Phishing Project\phishtank - november 2017\content\df5\app-1493802496.000webhostapp.com\2017-11-16 02-14-00,1,1.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
flyhoneywigs.com,2017-11-23 06-44-02,C:\Phishing Project\phishtank - november 2017\content\52a\flyhoneywigs.com\2017-11-23 06-44-02,1,3.0,1.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
kawx.org,2017-09-21 11-46-30,C:\Phishing Project\phishtank - september 2017\content\113\kawx.org\2017-09-21 11-46-30,1,15.0,22.0,1,9.0,0.0,0.0,366.64285710000007,16988,2,14,0.857142857,12,phish,phish
norge137.win,2017-11-26 04-09-00,C:\Phishing Project\phishtank - november 2017\content\ffb\norge137.win\2017-11-26 04-09-00,1,5.0,1.0,1,0.0,0.0,0.0,0.0,0,1,0,0.0,0,phish,phish
aryaplay.com,2017-11-20 05-44-28,C:\Phishing Project\phishtank - november 2017\content\519\aryaplay.com\2017-11-20 05-44-28,1,8.0,14.0,2,0.0,0.0,0.0,120.68181820000001,6515,2,22,1.0,22,phish,phish
paypal.co.uk.usergfd0efwas36.squishigate.com,2017-11-20 03-44-11,C:\Phishing Project\phishtank - november 2017\content\51c\paypal.co.uk.usergfd0efwas36.squishigate.com\2017-11-20 03-44-11,1,1.0,3.0,1,0.0,0.0,0.0,9.0,200,2,1,0.0,0,phish,phish
tiddalick.com.au,2017-09-21 08-54-17,C:\Phishing Project\phishtank - september 2017\content\fc8\tiddalick.com.au\2017-09-21 08-54-17,1,1.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
santander-atualizacao.ml,2017-11-20 06-59-02,C:\Phishing Project\phishtank - november 2017\content\a92\santander-atualizacao.ml\2017-11-20 06-59-02,1,0.0,2.0,1,0.0,0.0,0.0,53.0,133,1,1,0.0,0,phish,phish
apexlogistics.com.pk,2017-11-18 04-44-10,C:\Phishing Project\phishtank - november 2017\content\7d3\apexlogistics.com.pk\2017-11-18 04-44-10,1,15.0,23.5,2,10.5,0.0,0.0,350.46666669999996,17210,3,15,1.0,15,phish,phish
rrcs-71-42-148-11.sw.biz.rr.com,2017-09-22 04-49-01,C:\Phishing Project\phishtank - september 2017\content\c13\rrcs-71-42-148-11.sw.biz.rr.com\2017-09-22 04-49-01,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
wikifeqh.ir,2017-11-20 08-53-26,C:\target site - 20K alexa\content\8ff\wikifeqh.ir\2017-11-20 08-53-26,1,1.0,4.0,1,0.0,0.0,0.0,20.75,309,0,4,0.0,0,phish,alexa
wukong.com,2017-11-20 01-50-07,C:\target site - 20K alexa\content\fbb\wukong.com\2017-11-20 01-50-07,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,alexa
hinsae.com,2017-09-20 09-08-42,C:\Phishing Project\phishtank - september 2017\content\558\hinsae.com\2017-09-20 09-08-42,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0,phish,phish
app-1510740810.000webhostapp.com,2017-11-17 07-49-16,C:\Phishing Project\phishtank - november 2017\content\5b0\app-1510740810.000webhostapp.com\2017-11-17 07-49-16,1,0.0,3.0,2,0.0,0.0,0.0,207.0,387,2,1,1.0,1,phish,phish
yanrchoo.000webhostapp.com,2017-11-17 03-49-04,C:\Phishing Project\phishtank - november 2017\content\2ab\yanrchoo.000webhostapp.com\2017-11-17 03-49-04,1,0.0,3.0,2,0.0,0.0,0.0,207.0,387,2,1,1.0,1,phish,phish
