domain,has_cert,longetivity,valid_cert,extended_validation,cert_age,multi_mtn,Predicted Results,Actual Results
info200fbt51110.000webhostapp.com,1,1095,1,0,479,0,phish,phish
acountconmfirm.000webhostapp.com,1,1095,1,0,536,0,phish,phish
eliteapartotel.com,1,90,1,0,78,0,phish,phish
maxsecureacc58965.000webhostapp.com,1,1095,1,0,541,0,phish,phish
www.webyayim.net.tr,1,90,1,0,26,0,phish,alexa
putem-islama.com,1,90,1,0,1,0,phish,alexa
mail.digitalcert.site,1,90,1,0,70,0,phish,phish
esoterismos.com,1,90,1,0,2,0,phish,alexa
adnacaceres.com.br,1,90,1,0,55,0,phish,phish
allegro.pl.showsproduct.in,1,365,0,0,0,0,phish,phish
www.phoebescake.com,1,90,1,0,60,0,phish,phish
tournamentsoftware.bid,1,190,1,0,2,1,phish,phish
jetis.ponorogo.go.id,1,90,1,0,60,0,phish,phish
apk-net-santanet-pf.000webhostapp.com,1,1095,1,0,540,0,phish,phish
brandechomedia.com,1,90,1,0,38,0,phish,phish
www.insightsaa.com,1,90,1,0,61,0,phish,phish
activation-pages001.000webhostapp.com,1,1095,1,0,536,0,phish,phish
cidadeverde.com,1,90,1,0,1,0,phish,alexa
ech.mr,1,90,1,0,67,0,phish,phish
confirmationpageandprivacy.cf,1,190,1,0,4,1,phish,phish
residences.stream,1,190,1,0,3,1,phish,phish
www.wufoo.com,1,1158,1,0,251,0,phish,alexa
www.ukeducation4all.co.uk,1,90,1,0,67,0,phish,phish
papisport.com,1,90,1,0,4,0,phish,phish
senthoughtsblog.com,1,90,1,0,64,0,phish,phish
regway-lnfoguide.com,1,190,1,0,2,1,phish,phish
suspicious254.000webhostapp.com,1,1095,1,0,490,0,phish,phish
knockoutfurniture.com,1,90,1,0,61,0,phish,phish
www.pnpnews.net,1,90,1,0,34,0,phish,alexa
www.bound-ticklish-girl.com,1,90,1,0,24,0,phish,alexa
ieeepesce.com,1,90,1,0,49,0,phish,phish
hoidtux.weebly.com,1,1186,1,0,477,0,phish,phish
republic-of-street.com,1,90,1,0,50,0,phish,phish
rower.in.ua,1,90,1,0,2,0,phish,alexa
www.aconvert.com,1,90,1,0,0,0,phish,alexa
prenatalcare.mx,1,90,1,0,65,0,phish,phish
grainconnect.com,1,90,1,0,72,0,phish,phish
padariagamboa.com.br,1,90,1,0,36,0,phish,phish
apikumbang784.000webhostapp.com,1,1095,1,0,531,0,phish,phish
elinformadornews.com,1,90,1,0,43,0,phish,phish
www.pirgos-restaurant.com,1,90,1,0,58,0,phish,phish
klartscouncil.com,1,90,1,0,67,0,phish,phish
masscentral.com,1,90,1,0,34,0,phish,alexa
membercenter-staging.austin360.com,1,1095,1,0,439,1,phish,alexa
www.callcenterbeat.com,1,90,1,0,46,1,phish,alexa
sso-utu-fi.weebly.com,1,1186,1,0,471,0,phish,phish
voorbeeldsollicitatiebrief.info,1,90,1,0,33,0,phish,alexa
wellsfargosecure.unncedproject.com.ng,1,90,1,0,16,0,phish,phish
gulzedge.com,1,90,1,0,4,0,phish,phish
jalussa.com,1,90,1,0,64,0,phish,phish
policy5433.000webhostapp.com,1,1095,1,0,542,0,phish,phish
info01fb561100.000webhostapp.com,1,1095,1,0,479,0,phish,phish
service-confirmation-customer.envisioningnewmeanings.ca,1,90,1,0,0,0,phish,phish
wws-bcpzonesegur-viabc.000webhostapp.com,1,1095,1,0,490,0,phish,phish
sonyfitness.mx,1,90,1,0,50,0,phish,phish
ahmedabadredcross.org,1,90,1,0,62,0,phish,phish
jamash.000webhostapp.com,1,1095,1,0,476,0,phish,phish
yosoyvendedor.com,1,90,1,0,0,0,phish,alexa
watchvslivestreamtv.club,1,90,1,0,2,0,phish,phish
paypal-service.intl.webappscz.com,1,90,1,0,1,0,phish,phish
tgampper.000webhostapp.com,1,1095,1,0,542,0,phish,phish
www.greatersaintmatthews.org,1,90,1,0,49,0,phish,phish
alphycolor.com,1,90,1,0,66,0,phish,phish
www.clovecomputers.co.tz,1,90,1,0,54,0,phish,phish
numet.co.tz,1,90,1,0,74,0,phish,phish
infosettings6132132.000webhostapp.com,1,1095,1,0,475,0,phish,phish
www.thehealthy.com,1,90,1,0,55,0,phish,alexa
darkbyte.ru,1,90,1,0,2,0,phish,alexa
nationwideenergypartners.com,1,90,1,0,4,0,phish,alexa
sarahslayer55.000webhostapp.com,1,1095,1,0,540,0,phish,phish
lucydavenport.co.uk,1,90,1,0,63,0,phish,phish
comodidade.email,1,90,1,0,2,0,phish,phish
orcattlewomen.org,1,90,1,0,39,0,phish,phish
semiaccurate.com,1,90,1,0,26,0,phish,alexa
www.unfuckyourhabitat.com,1,90,1,0,48,0,phish,alexa
insightsaa.com,1,90,1,0,61,0,phish,phish
silicoane.ro,1,90,1,0,43,0,phish,phish
www.biblesearches.org,1,90,1,0,2,0,phish,alexa
web.seesaw.me,1,90,1,0,1,0,phish,alexa
www.assocolours.com,1,90,1,0,67,0,phish,phish
5521efb117info.000webhostapp.com,1,1095,1,0,490,0,phish,phish
homehandicraft.com,1,90,1,0,62,0,phish,phish
nailsbycherylgrant.com,1,90,1,0,28,0,phish,phish
www.financnahitparada.sk,1,365,1,0,22,0,phish,alexa
repuestosyserviciosbaldeonsrl.com,1,90,1,0,66,0,phish,phish
amazon-de-verifizierungsprozess-293542.informationsafetypanel.pw,1,190,1,0,6,1,phish,phish
d3iheef60oziqi.cloudfront.net,1,417,1,0,331,1,phish,phish
www.mynewplanproject.com,1,365,1,0,0,0,phish,phish
cagw.ca,1,90,1,0,35,0,phish,phish
myaccount-verifys-webapps-limitid-updates-information.gynfarujus.com,1,90,1,0,0,0,phish,phish
mwanczyk0.000webhostapp.com,1,1095,1,0,475,0,phish,phish
amazonaccountstatus.com,1,90,1,0,0,0,phish,phish
www.wegobazaar.com,1,90,1,0,2,0,phish,alexa
kservice.in,1,90,1,0,26,0,phish,phish
keuskupan-malang.org,1,90,1,0,65,0,phish,phish
halomobileclothing.com,1,90,1,0,24,0,phish,phish
ziadjabbour.com,1,90,1,0,32,0,phish,phish
vwinformatics.com.au,1,90,1,0,30,0,phish,phish
fleetcor.de,1,1095,1,0,475,0,phish,alexa
www.librairieforumdulivre.fr,1,90,1,0,0,0,phish,alexa
managementhelp.org,1,90,1,0,64,0,phish,alexa
ikejo.net,1,90,1,0,2,0,phish,alexa
avi-products.com,1,90,1,0,63,0,phish,phish
transakcja.platnoscidpy.pl,1,190,1,0,5,1,phish,phish
onlineadobefile-reader-pdf-secured.000webhostapp.com,1,1095,1,0,541,0,phish,phish
www.adventuringthegreatwidesomewhere.com,1,90,1,0,37,0,phish,alexa
megavirada.com.br,1,90,1,0,71,0,phish,phish
www.server-provider.com,1,90,1,0,26,0,phish,alexa
perfectlimoges.com,1,90,1,0,4,0,phish,phish
policy23.000webhostapp.com,1,1095,1,0,535,0,phish,phish
unblock-support-fb2017.ga,1,90,1,0,1,0,phish,phish
path2projects.com,1,90,1,0,67,0,phish,phish
myballteam.com,1,90,1,0,4,0,phish,phish
accountnote.com,1,90,1,0,73,0,phish,phish
sevialeon.com,1,90,1,0,41,0,phish,phish
intermountainland.com,1,90,1,0,37,0,phish,phish
ultimaterealismpack.weebly.com,1,1186,1,0,475,0,phish,alexa
myglaza.com,1,90,1,0,30,0,phish,phish
ringsten.tech,1,190,1,0,0,1,phish,phish
www.efizzle.com,1,90,1,0,4,0,phish,alexa
marcianosx.com,1,90,1,0,83,0,phish,alexa
activity547575757.000webhostapp.com,1,1095,1,0,531,0,phish,phish
www.wirtschaftskarriere.at,1,90,1,0,0,0,phish,alexa
apehcoca.com,1,90,1,0,51,0,phish,phish
poojacomputronics.com,1,90,1,0,33,0,phish,phish
mycutegraphics.com,1,90,1,0,61,0,phish,alexa
geoffludgate.com,1,90,1,0,69,0,phish,phish
adobeonline-filereader-pdfsecured-document.000webhostapp.com,1,1095,1,0,540,0,phish,phish
home.country.x.locale.prefences.arla9me.accountant,1,90,1,0,0,0,phish,phish
1atgtradoc.000webhostapp.com,1,1095,1,0,533,0,phish,phish
danielfurer21.000webhostapp.com,1,1095,1,0,476,0,phish,phish
prophettothenations.org,1,90,1,0,50,0,phish,phish
upsconline.nic.in,1,1095,1,0,487,0,phish,alexa
lc.cx,1,90,1,0,42,0,phish,phish
yonnaforexbureau.gm,1,90,1,0,61,0,phish,phish
www.dayfuck.com,1,90,1,0,4,0,phish,alexa
www.re-confirmationsupport.ga,1,90,1,0,0,0,phish,phish
verification.secure.siliconvalleyinfo.net,1,90,1,0,0,0,phish,phish
id264567324522.rozliczeniedp.pl,1,190,1,0,0,1,phish,phish
www.trycaviar.com,1,270,1,0,1,0,phish,alexa
www.acquaripesci.it,1,90,1,0,56,0,phish,phish
www.mindset24global.com,1,90,1,0,52,0,phish,alexa
iagreview.org.uk,1,90,1,0,62,0,phish,phish
id046275783423.rozliczeniedp.pl,1,190,1,0,0,1,phish,phish
jahangirabadblhighschool.edu.bd,1,90,1,0,24,0,phish,phish
assets.sudouest.fr,1,1095,1,0,488,0,phish,alexa
easy2ownestate.com,1,90,1,0,70,0,phish,phish
siteslike.com,1,90,1,0,62,0,phish,alexa
huskyshack.com.au,1,90,1,0,55,0,phish,phish
ibanknab.com,1,90,1,0,0,0,phish,phish
www.wizxpert.com,1,190,1,0,2,1,phish,phish
jfe.colesonline.es,1,90,1,0,16,0,phish,phish
usdtransactions.weebly.com,1,1186,1,0,475,0,phish,phish
secure-00022101.000webhostapp.com,1,1095,1,0,477,0,phish,phish
www.forotrabajo.es,1,90,1,0,64,1,phish,alexa
www.newenglandcollegeonline.com,1,131,1,0,0,1,phish,alexa
claming7634.000webhostapp.com,1,1095,1,0,540,0,phish,phish
upgradelink.000webhostapp.com,1,1095,1,0,533,0,phish,phish
atletika.hu,1,90,1,0,16,0,phish,alexa
morrismotley.com,1,90,1,0,0,0,phish,alexa
contactii25.000webhostapp.com,1,1095,1,0,536,0,phish,phish
bank-ofamerica-support-online-reg.flu.cc,1,90,1,0,0,0,phish,phish
wells-sev.servitectome.cl,1,90,1,0,0,0,phish,phish
www.toreador.com.ua,1,90,1,0,4,0,phish,alexa
attlnt.net,1,90,1,0,2,0,phish,phish
app-1505480594.000webhostapp.com,1,1095,1,0,475,0,phish,phish
www.culinaryworkshopperu.com,1,90,1,0,49,0,phish,phish
cristalgelos.com.br,1,90,1,0,33,0,phish,phish
wwwfbinfo041.000webhostapp.com,1,1095,1,0,536,0,phish,phish
www.euyansang.com.my,1,1096,1,0,97,1,phish,alexa
matchviewprofile-aspx.tk,1,90,1,0,32,0,phish,phish
www.accountservergroupmaintenance.com,1,90,1,0,1,0,phish,phish
toluarr123456.000webhostapp.com,1,1095,1,0,531,0,phish,phish
ireview.in.th,1,90,1,0,16,0,phish,alexa
nathy974.000webhostapp.com,1,1095,1,0,478,0,phish,phish
www.echo-ca.org,1,90,1,0,60,0,phish,alexa
www.electronica-pt.com,1,90,1,0,59,0,phish,alexa
www.numberempire.com,1,90,1,0,0,0,phish,alexa
www.koaas.cf,1,90,1,0,2,0,phish,phish
www.dangerousnet.gq,1,90,1,0,1,0,phish,phish
kidsorus.ga,1,90,1,0,2,0,phish,phish
banking.merldiancu.ca,1,365,1,0,22,0,phish,phish
locking-app-adverds.000webhostapp.com,1,1095,1,0,486,0,phish,phish
help-confirmation-fb.ga,1,90,1,0,0,0,phish,phish
mrsshh5.wixsite.com,1,1095,1,0,386,0,phish,phish
id62643737373.rozliczeniedp.pl,1,190,1,0,0,1,phish,phish
informationpage871221.000webhostapp.com,1,1095,1,0,490,0,phish,phish
paypal-activity.com-webapps.totshots.ca,1,90,1,0,2,0,phish,phish
www.zartbesaitet.net,1,90,1,0,26,0,phish,alexa
www.vstvnet.com,1,90,1,0,32,0,phish,phish
info700152214i.000webhostapp.com,1,1095,1,0,541,0,phish,phish
www.carbox.me,1,90,1,0,28,0,phish,alexa
www.childoftheredwoods.com,1,90,1,0,0,0,phish,alexa
mag-travels.com,1,90,1,0,70,0,phish,phish
profleonardogontijo.com.br,1,90,1,0,71,0,phish,phish
www.topshoeus.com,1,190,1,0,14,1,phish,phish
support.appleid.apple.com-secured-your-account-info.center,1,90,1,0,1,0,phish,phish
expofreightservicesltd.com,1,90,1,0,75,0,phish,phish
www.stalwartent.com,1,90,1,0,65,0,phish,phish
www.urexic.pro,1,90,1,0,2,0,phish,phish
vrfy2587.000webhostapp.com,1,1095,1,0,479,0,phish,phish
twelfy.com,1,90,1,0,68,0,phish,phish
barclaysbinkloan.com,1,90,1,0,24,0,phish,phish
southdeli.in,1,90,1,0,42,0,phish,phish
sales.empliance.in,1,90,1,0,1,0,phish,phish
www.tumblrturkiye.com,1,90,1,0,56,0,phish,phish
www.fullpelishd.net,1,90,1,0,4,0,phish,alexa
info4457100n7710.000webhostapp.com,1,1095,1,0,531,0,phish,phish
www.ultrafix.in,1,90,1,0,52,0,phish,phish
redirect-10101.blogspot.de,1,83,1,0,22,1,phish,phish
recovery-account-safety.cf,1,190,1,0,2,1,phish,phish
lesjoiesducode.fr,1,90,1,0,2,0,phish,alexa
acunfo.000webhostapp.com,1,1095,1,0,533,0,phish,phish
pepgamez.com,1,1096,1,1,394,0,phish,phish
liveonwatchtv.com,1,90,1,0,0,0,phish,phish
brom-build.ro,1,90,1,0,46,0,phish,phish
facha.cl,1,90,1,0,74,0,phish,phish
www.forloveandlemons.com,1,90,1,0,1,0,phish,alexa
digitosperu.com,1,90,1,0,60,0,phish,phish
fsinorth.com,1,90,1,0,58,0,phish,phish
wellsfargo0098.000webhostapp.com,1,1095,1,0,533,0,phish,phish
instagiv.com,1,90,1,0,65,0,phish,alexa
